[Spectrum]		
IDData	DLAB_2012-07-27_19-10-40_447_776	
IDDevice	SAM_8404	
DateTime	2012-07-27 19:04:22	
IDDataType	SPECTRUM	
IDDataTypeSub1	BACK	
IDDataTypeSub2		
IDDataTypeSub3		
RecordType	0	
IDMethodType	SAM Calibration Station	
MethodName	SAM_Calibration_Station	
Latitude	0	
Longitude	0	
Comment		
CommentSub1		
CommentSub2		
CommentSub3		
Mission		
MissionSub	0	
		
122	0.0191798512669692	0.0258886296317721
123	0.0191700013673379	0.0259035242913823
124	0.0191673730524612	0.0258284470095252
125	0.0191674404004128	0.0256206542362689
126	0.0191751993729675	0.0259131091303514
127	0.0191711878079354	0.0257015444258567
128	0.0191756235254812	0.025816842316041
129	0.0191693221300958	0.0256113949550451
130	0.019177336187379	0.0257292946887647
131	0.01916904663161	0.0257232005619845
132	0.0191788778622495	0.0258144225404566
133	0.0191707816265073	0.0255590747705486
134	0.0191813439139268	0.0256021766958428
135	0.0191579872604754	0.0257485434431954
136	0.0191784732511105	0.0261967207239645
137	0.019168710764235	0.0257898711224183
138	0.0191604611635978	0.025938864501081
139	0.0191684118858903	0.0257330486401385
140	0.0191717588697113	0.0257391507967612
