[Spectrum]		
IDData	DLAB_2012-07-30_10-33-38_055_676	DLAB_2012-07-30_10-33-42_711_677
33	1.44671557767706	0.824432221800445
34	1.48232774264551	0.845052345533041
35	1.52805339471846	0.871448199891642
36	1.58818820214007	0.906076603313223
37	1.66146696091062	0.948223955953884
38	1.74393933959436	0.995642285013516
39	1.83929821633597	1.0504453221238
40	1.93943415845032	1.10800672429862
41	2.04228539582699	1.16714995851903
42	2.1405097367861	1.22367820911865
43	2.22153375785959	1.27039783548299
44	2.28782298062009	1.30870923640505
45	2.3300444092269	1.33326375010621
46	2.35259663365622	1.34656634457329
47	2.35412175792626	1.34782959617924
48	2.33621039330272	1.33795421572839
49	2.30678788374133	1.32147126062201
50	2.26793376146148	1.29956733745598
51	2.22471275142966	1.27514154770308
52	2.18004295356748	1.24986547718635
53	2.12599397370405	1.21919121266607
54	2.06632611738835	1.18527220056377
55	1.99958401981763	1.14727163440154
56	1.93330287381276	1.10951159384806
57	1.87132664822929	1.07419948561598
58	1.81748321587406	1.0435355065795
59	1.7753251295695	1.01956367001335
60	1.74749856915461	1.00380904768561
61	1.72904182851522	0.993426741815679
62	1.72258591795436	0.989932539080714
63	1.72483691947338	0.99143773087764
64	1.73598842670398	0.9980569050828
65	1.75832706126452	1.01110820330923
66	1.78808526066463	1.02842861976902
67	1.82378690755825	1.0491714921041
68	1.85709676194659	1.06854278356593
69	1.88381838660286	1.08412655879966
70	1.90006845833183	1.09368531366367
71	1.90922625804332	1.09916110892053
72	1.91773741866191	1.10426319433776
73	1.92379621621838	1.10795144956701
74	1.93262272452509	1.11323203237237
75	1.94379206593455	1.11986104058216
76	1.95453547722946	1.12624378106895
77	1.96631506794686	1.13322278844947
78	1.97659584497273	1.13933717574618
79	1.98313520920961	1.14329365709821
80	1.98608791447453	1.14518044196492
81	1.98354131538756	1.14389357355763
82	1.9720520058141	1.13744551765861
83	1.95265248857322	1.12642958429629
84	1.92312156250545	1.10956225944447
85	1.89113553807348	1.09127063255825
86	1.85777554295745	1.07217819507467
87	1.82645199968344	1.05425331492764
88	1.79529013150763	1.03641436454478
89	1.76651914862538	1.01994863756511
90	1.73959762888844	1.00454421366779
91	1.71347604238234	0.989595529943145
92	1.69112943126239	0.976821332405553
93	1.66874724997088	0.964021295665019
94	1.64809204817521	0.952213864488353
95	1.62810545877718	0.94078796328365
96	1.60681462175362	0.928603690925136
97	1.57968191236301	0.913038160890591
98	1.54646327866321	0.893949133735429
99	1.50314055389095	0.869012398612872
100	1.45621368436103	0.841984237083797
101	1.40904812707508	0.814810194637385
102	1.36442763811468	0.789100328542712
103	1.3244724172486	0.766081636649948
104	1.287246972808	0.744635560233878
105	1.25118886344209	0.723858829992459
106	1.21261591563801	0.701621276118909
107	1.17660090528946	0.680857965322751
108	1.14717189706699	0.663900647477841
109	1.12246156274903	0.649669862995424
110	1.09870894781268	0.635989531732999
111	1.07550024643028	0.622620343395458
112	1.05608282537884	0.611442599670002
113	1.0376992391822	0.600860391933532
114	1.01891427536396	0.590042840753333
115	1.00214292374765	0.580388564628483
116	0.986140171590058	0.571176843296951
117	0.971503407778422	0.562753897583718
118	0.958671390971938	0.55537418002748
119	0.945884999092065	0.548018843734745
120	0.93613840961003	0.542422836195109
121	0.928375262895776	0.537974543628206
122	0.922025760208066	0.534344093623988
123	0.917299094437563	0.531652978199991
124	0.914478658251015	0.530065736043373
125	0.91364863517238	0.529631478485243
126	0.913998630172944	0.529880704714978
127	0.914434806474856	0.530179407803616
128	0.914963423178043	0.530531237963147
129	0.913695990356548	0.529841104432123
130	0.911254523950697	0.528469483169576
131	0.906270267662505	0.525622358715845
132	0.898814847028182	0.521340926505001
133	0.889659463705531	0.516072212062558
134	0.879635698166281	0.510298418415557
135	0.869264772498057	0.504321845039867
136	0.858185896769133	0.49793313068038
137	0.84696751711492	0.491462049146919
138	0.83665015686462	0.485512425596693
139	0.826340617073817	0.479566033900831
140	0.816169323829897	0.473698594058469
141	0.806267698572518	0.467986425786351
142	0.795194395258285	0.461592913329231
143	0.782540596525252	0.454280600850258
144	0.767395168258126	0.44552034115399
145	0.750563107576428	0.435779231513374
146	0.731519744093377	0.424752443224871
147	0.711946799407181	0.413416283621912
148	0.691256452941121	0.401429355783131
149	0.670119480556625	0.389181117703101
150	0.649517566632496	0.377241711163114
151	0.629620135185967	0.365709635977476
152	0.609688372169346	0.354155838747226
153	0.590589514963549	0.3430841359481
154	0.571803717994773	0.332192640361885
155	0.55327465737464	0.321448687791417
156	0.535000356376107	0.31085118189339
157	0.516254625541142	0.299978209352033
158	0.497560806842011	0.289133856711788
159	0.479538830960424	0.278678417476571
160	0.460712412398938	0.267754006559363
161	0.441857599952145	0.256811606545623
162	0.422889070229855	0.245801642046665
163	0.404110249231769	0.234900497136625
164	0.385785698777507	0.224262004932258
165	0.36795261339208	0.213907854477628
166	0.35153271143122	0.204373982767773
167	0.33513870762411	0.194853963408739
168	0.320493627233078	0.186349661495969
169	0.306688415080903	0.178332668508645
170	0.293584325946759	0.170722398538562
171	0.281831558028581	0.163897050363993
172	0.270459852006215	0.157292487305708
173	0.259973190612218	0.151201875788921
174	0.250806956713255	0.145878543890091
175	0.241607625121354	0.140535321868517
176	0.233359151987839	0.135744580737259
177	0.225056720268992	0.130921884720376
178	0.216800047803077	0.126125248209181
179	0.209006792915105	0.121597671412715
180	0.20067076139194	0.116753781105043
181	0.192441174163874	0.111971283670027
182	0.184366598671154	0.107278455691495
183	0.17653643216071	0.102727338092698
184	0.168949396090385	0.0983172143939315
185	0.161063582850259	0.093732742400532
186	0.153726204755047	0.0894669714706116
187	0.146222523107143	0.085103963505378
188	0.138711388418253	0.0807361685518701
189	0.131681518972082	0.0766480607399118
190	0.123921283488604	0.0721343959498155
191	0.116904667841649	0.0680531652102334
192	0.109574899884339	0.0637892315386914
193	0.103279085780797	0.0601268310801854
194	0.0976821467204664	0.056870965680395
195	0.0925329726850126	0.0538754902095242
196	+NAN	+NAN
197	+NAN	+NAN
198	+NAN	+NAN
199	+NAN	+NAN
200	+NAN	+NAN
201	+NAN	+NAN
202	+NAN	+NAN
203	+NAN	+NAN
204	+NAN	+NAN
205	+NAN	+NAN
206	+NAN	+NAN
207	+NAN	+NAN
208	+NAN	+NAN
209	+NAN	+NAN
210	+NAN	+NAN
211	+NAN	+NAN
212	+NAN	+NAN
213	+NAN	+NAN
214	+NAN	+NAN
215	+NAN	+NAN
